species,IUCN Status,EPBC Status,NSW Status
Adelotus brevis ,,,
Arenophryne rotunda,,,
Arenophryne xiphorhyncha,,,
Assa darlingtoni ,,,VU
Austrochaperina adelphe,,,
Austrochaperina fryi,,,
Austrochaperina gracilipes,,,
Austrochaperina pluvialis,,,
Austrochaperina robusta,,,
Cophixalus aenigma ,VU,,
Cophixalus australis,,,
Cophixalus bombiens,,,
Cophixalus concinnus ,CR,,
Cophixalus crepitans,,,
Cophixalus exiguus,,,
Cophixalus hinchinbrookensis,,,
Cophixalus hosmeri,,,
Cophixalus infacetus,,,
Cophixalus kulakula,,,
Cophixalus mcdonaldi,EN,,
Cophixalus monticola,EN,,
Cophixalus neglectus ,EN,,
Cophixalus ornatus,,,
Cophixalus pakayakulangun,,,
Cophixalus peninsularis,,,
Cophixalus petrophilus,,,
Cophixalus saxatilis ,VU,,
Cophixalus zweifeli ,,,
Crinia bilingua,,,
Crinia deserticola ,,,
Crinia fimbriata,,,
Crinia flindersensis,,,
Crinia georgiana ,,,
Crinia glauerti,,,
Crinia insignifera ,,,
Crinia nimba,,,
Crinia parinsignifera ,,,
Crinia pseudinsignifera,,,
Crinia remota,,,
Crinia riparia,,,
Crinia signifera,,,
Crinia sloanei ,,,VU
Crinia subinsignifera ,,,
Crinia tasmaniensis,,,
Crinia tinnula,VU,,VU
Cyclorana alboguttata,,,
Cyclorana australis,,,
Cyclorana brevipes,,,
Cyclorana cryptotis ,,,
Cyclorana cultripes ,,,
Cyclorana longipes,,,
Cyclorana maculosa,,,
Cyclorana maini ,,,
Cyclorana manya ,,,
Cyclorana novaehollandiae,,,
Cyclorana occidentalis,,,
Cyclorana platycephala ,,,
Cyclorana vagitus,,,
Cyclorana verrucosa ,,,
Geocrinia alba,CR,EN,
Geocrinia laevis,,,
Geocrinia leai ,,,
Geocrinia lutea ,,,
Geocrinia rosea ,,,
Geocrinia victoriana ,,,
Geocrinia vitellina,VU,VU,
Heleioporus albopunctatus ,,,
Heleioporus australiacus ,VU,VU,VU
Heleioporus barycragus ,,,
Heleioporus eyrei,,,
Heleioporus inornatus ,,,
Heleioporus psammophilus,,,
Lechriodus fletcheri ,,,
Limnodynastes convexiusculus ,,,
Limnodynastes depressus,,,
